userId,itemId,rating
1,1,
1,2,3
1,3,1
1,4,
1,5,1
1,6,
1,7,
1,8,5
1,9,3
1,10,
1,11,2
1,12,
1,13,5
1,14,3
1,15,
1,16,3
1,17,
1,18,2
1,19,
1,20,2
1,21,4
1,22,4
1,23,
1,24,2
1,25,4
1,26,
1,27,5
1,28,
1,29,4
1,30,
1,31,3
1,32,
2,1,
2,2,4
2,3,
2,4,4
2,5,1
2,6,
2,7,1
2,8,4
2,9,
2,10,4
2,11,2
2,12,3
2,13,5
2,14,
2,15,5
2,16,
2,17,5
2,18,
2,19,4
2,20,2
2,21,
2,22,5
2,23,5
2,24,
2,25,
2,26,5
2,27,5
2,28,
2,29,3
2,30,
2,31,4
2,32,3
3,1,4
3,2,5
3,3,
3,4,5
3,5,
3,6,4
3,7,
3,8,3
3,9,1
3,10,3
3,11,
3,12,2
3,13,
3,14,3
3,15,
3,16,5
3,17,5
3,18,3
3,19,
3,20,3
3,21,
3,22,
3,23,5
3,24,3
3,25,
3,26,4
3,27,
3,28,4
3,29,4
3,30,
3,31,2
3,32,
4,1,4
4,2,
4,3,4
4,4,
4,5,
4,6,5
4,7,4
4,8,3
4,9,
4,10,
4,11,
4,12,5
4,13,
4,14,4
4,15,3
4,16,
4,17,5
4,18,
4,19,4
4,20,
4,21,4
4,22,3
4,23,
4,24,4
4,25,4
4,26,
4,27,4
4,28,5
4,29,
4,30,2
4,31,5
4,32,
5,1,3
5,2,3
5,3,
5,4,3
5,5,4
5,6,
5,7,
5,8,3
5,9,5
5,10,5
5,11,
5,12,4
5,13,1
5,14,4
5,15,
5,16,2
5,17,
5,18,4
5,19,2
5,20,5
5,21,
5,22,
5,23,4
5,24,3
5,25,3
5,26,
5,27,3
5,28,4
5,29,4
5,30,
5,31,4
5,32,4
6,1,
6,2,
6,3,5
6,4,3
6,5,
6,6,2
6,7,3
6,8,
6,9,4
6,10,4
6,11,
6,12,4
6,13,3
6,14,
6,15,4
6,16,
6,17,
6,18,5
6,19,4
6,20,3
6,21,1
6,22,
6,23,3
6,24,2
6,25,
6,26,4
6,27,3
6,28,
6,29,4
6,30,5
6,31,
6,32,5
7,1,3
7,2,
7,3,4
7,4,
7,5,3
7,6,3
7,7,2
7,8,
7,9,3
7,10,4
7,11,
7,12,4
7,13,3
7,14,4
7,15,
7,16,3
7,17,
7,18,
7,19,5
7,20,
7,21,3
7,22,
7,23,4
7,24,4
7,25,3
7,26,
7,27,
7,28,2
7,29,5
7,30,
7,31,4
7,32,4
8,1,
8,2,3
8,3,
8,4,1
8,5,4
8,6,5
8,7,
8,8,5
8,9,3
8,10,
8,11,1
8,12,4
8,13,
8,14,2
8,15,2
8,16,
8,17,
8,18,4
8,19,
8,20,5
8,21,1
8,22,
8,23,2
8,24,4
8,25,
8,26,
8,27,4
8,28,5
8,29,
8,30,3
8,31,3
8,32,
9,1,
9,2,3
9,3,3
9,4,3
9,5,
9,6,5
9,7,5
9,8,
9,9,2
9,10,4
9,11,5
9,12,4
9,13,
9,14,2
9,15,4
9,16,1
9,17,
9,18,5
9,19,
9,20,4
9,21,2
9,22,4
9,23,
9,24,
9,25,4
9,26,1
9,27,1
9,28,
9,29,3
9,30,
9,31,4
9,32,
